antecedents,consequents,support,confidence,lift
frozenset({'other vegetables'}),frozenset({'meat'}),0.002138608567800575,0.01751505199781062,1.0399909644573029
frozenset({'meat'}),frozenset({'other vegetables'}),0.002138608567800575,0.126984126984127,1.0399909644573029
frozenset({'root vegetables'}),frozenset({'waffles'}),0.0013366303548753592,0.019212295869356386,1.0378107692894571
frozenset({'waffles'}),frozenset({'root vegetables'}),0.0013366303548753592,0.07220216606498195,1.0378107692894571
frozenset({'butter'}),frozenset({'citrus fruit'}),0.0019381140145692708,0.05502846299810246,1.0357118136359837
frozenset({'citrus fruit'}),frozenset({'butter'}),0.0019381140145692708,0.03647798742138365,1.0357118136359837
frozenset({'hard cheese'}),frozenset({'rolls/buns'}),0.001670787943594199,0.11363636363636365,1.0330139180382194
frozenset({'rolls/buns'}),frozenset({'hard cheese'}),0.001670787943594199,0.015188335358444716,1.0330139180382194
frozenset({'sausage'}),frozenset({'dessert'}),0.0014702933903628951,0.024363233665559245,1.0327112332514532
frozenset({'dessert'}),frozenset({'sausage'}),0.0014702933903628951,0.06232294617563739,1.0327112332514532
frozenset({'detergent'}),frozenset({'whole milk'}),0.001403461872619127,0.1627906976744186,1.0308240411774547
frozenset({'whole milk'}),frozenset({'detergent'}),0.001403461872619127,0.008887008040626322,1.0308240411774545
frozenset({'brown bread'}),frozenset({'pastry'}),0.002004945532313039,0.05328596802841919,1.0301265369628376
frozenset({'pastry'}),frozenset({'brown bread'}),0.002004945532313039,0.03875968992248062,1.0301265369628376
frozenset({'pastry'}),frozenset({'sausage'}),0.003207912851700862,0.06201550387596899,1.0276168156103256
frozenset({'sausage'}),frozenset({'pastry'}),0.003207912851700862,0.05315614617940199,1.0276168156103256
frozenset({'canned beer'}),frozenset({'newspapers'}),0.001871282496825503,0.039886039886039885,1.0254550082728777
frozenset({'newspapers'}),frozenset({'canned beer'}),0.001871282496825503,0.048109965635738834,1.0254550082728777
frozenset({'newspapers'}),frozenset({'butter'}),0.001403461872619127,0.03608247422680412,1.024482090807723
frozenset({'butter'}),frozenset({'newspapers'}),0.001403461872619127,0.039848197343453504,1.024482090807723
frozenset({'canned beer'}),frozenset({'frozen vegetables'}),0.0013366303548753592,0.02849002849002849,1.0174135949792273
frozenset({'frozen vegetables'}),frozenset({'canned beer'}),0.0013366303548753592,0.0477326968973747,1.0174135949792273
frozenset({'soda'}),frozenset({'sausage'}),0.005948005079195348,0.06125258086717137,1.0149749363405152
frozenset({'sausage'}),frozenset({'soda'}),0.005948005079195348,0.09856035437430785,1.0149749363405152
frozenset({'ham'}),frozenset({'whole milk'}),0.0027400922274944863,0.16015624999999997,1.0141421789039355
frozenset({'whole milk'}),frozenset({'ham'}),0.0027400922274944863,0.017350825222175202,1.0141421789039355
frozenset({'frankfurter'}),frozenset({'frozen vegetables'}),0.0010693042839002875,0.028318584070796467,1.0112911060890872
frozenset({'frozen vegetables'}),frozenset({'frankfurter'}),0.0010693042839002875,0.03818615751789976,1.011291106089087
frozenset({'yogurt'}),frozenset({'citrus fruit'}),0.004611374724319989,0.053696498054474705,1.0106423904265471
frozenset({'citrus fruit'}),frozenset({'yogurt'}),0.004611374724319989,0.08679245283018867,1.0106423904265471
frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.003341575887188398,0.04803073967339097,1.0093875810856028
frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.003341575887188398,0.0702247191011236,1.0093875810856026
frozenset({'yogurt'}),frozenset({'hard cheese'}),0.0012697988371315912,0.014785992217898832,1.0056490979837283
frozenset({'hard cheese'}),frozenset({'yogurt'}),0.0012697988371315912,0.08636363636363636,1.0056490979837283
frozenset({'berries'}),frozenset({'other vegetables'}),0.0026732607097507185,0.12269938650306748,1.0048992447977005
frozenset({'other vegetables'}),frozenset({'berries'}),0.0026732607097507185,0.021893814997263273,1.0048992447977005
frozenset({'specialty bar'}),frozenset({'yogurt'}),0.0012029673193878234,0.0861244019138756,1.0028633664103663
frozenset({'yogurt'}),frozenset({'specialty bar'}),0.0012029673193878234,0.014007782101167316,1.002863366410366
frozenset({'sausage'}),frozenset({'salty snack'}),0.0011361358016440553,0.018826135105204873,1.002474945121639
frozenset({'salty snack'}),frozenset({'sausage'}),0.0011361358016440553,0.0604982206405694,1.0024749451216388
frozenset({'frankfurter'}),frozenset({'domestic eggs'}),0.001403461872619127,0.03716814159292035,1.0020664912700312
frozenset({'domestic eggs'}),frozenset({'frankfurter'}),0.001403461872619127,0.03783783783783784,1.0020664912700312
frozenset({'soda'}),frozenset({'grapes'}),0.001403461872619127,0.014452856159669649,1.0011948459126712
frozenset({'grapes'}),frozenset({'soda'}),0.001403461872619127,0.09722222222222221,1.001194845912671
frozenset({'citrus fruit'}),frozenset({'beef'}),0.001804450979081735,0.033962264150943396,1.000349130886941
frozenset({'beef'}),frozenset({'citrus fruit'}),0.001804450979081735,0.0531496062992126,1.000349130886941
frozenset({'rolls/buns'}),frozenset({'fruit/vegetable juice'}),0.003742564993651006,0.034021871202916165,1.0001360683874942
frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.003742564993651006,0.11001964636542241,1.0001360683874942
